Academic_Year,Institute_Type,Count,Degree,N
2016-2017,PhD,20940,BA,105
2016-2017,MA,2376,BA,34
2016-2017,BA,6790,BA,168
2016-2017,PhD,1919,MA,105
2016-2017,MA,283,MA,34
2016-2017,BA,,MA,168
2016-2017,PhD,973,PhD,105
2016-2017,MA,,PhD,34
2016-2017,BA,,PhD,168
2017-2018,PhD,22465,BA,103
2017-2018,MA,2518,BA,40
2017-2018,BA,7307,BA,169
2017-2018,PhD,1993,MA,103
2017-2018,MA,484,MA,40
2017-2018,BA,,MA,169
2017-2018,PhD,1011,PhD,103
2017-2018,MA,,PhD,40
2017-2018,BA,,PhD,169
2018-2019,PhD,23733,BA,103
2018-2019,MA,2447,BA,40
2018-2019,BA,7663,BA,169
2018-2019,PhD,1937,MA,103
2018-2019,MA,452,MA,40
2018-2019,BA,,MA,169
2018-2019,PhD,953,PhD,103
2018-2019,MA,,PhD,40
2018-2019,BA,,PhD,169
2019-2020,PhD,21246,BA,95
2019-2020,MA,3160,BA,31
2019-2020,BA,6108,BA,162
2019-2020,PhD,1824,MA,95
2019-2020,MA,346,MA,31
2019-2020,BA,,MA,162
2019-2020,PhD,854,PhD,95
2019-2020,MA,,PhD,31
2019-2020,BA,,PhD,162
2020-2021,PhD,20545,BA,99
2020-2021,MA,2417,BA,28
2020-2021,BA,6089,BA,172
2020-2021,PhD,1903,MA,99
2020-2021,MA,199,MA,28
2020-2021,BA,,MA,172
2020-2021,PhD,884,PhD,99
2020-2021,MA,,PhD,28
2020-2021,BA,,PhD,172
2021-2022,PhD,20649,BA,97
2021-2022,MA,1097,BA,23
2021-2022,BA,7397,BA,188
2021-2022,PhD,1810,MA,97
2021-2022,MA,197,MA,23
2021-2022,BA,,MA,188
2021-2022,PhD,930,PhD,97
2021-2022,MA,,PhD,23
2021-2022,BA,,PhD,188
2022-2023,PhD,18628,BA,90
2022-2023,MA,1050,BA,17
2022-2023,BA,4689,BA,124
2022-2023,PhD,2081,MA,90
2022-2023,MA,249,MA,17
2022-2023,BA,,MA,124
2022-2023,PhD,911,PhD,90
2022-2023,MA,,PhD,17
2022-2023,BA,,PhD,124
2023-2024,PhD,17437,BA,88
2023-2024,MA,906,BA,18
2023-2024,BA,4746,BA,115
2023-2024,PhD,1367,MA,88
2023-2024,MA,173,MA,18
2023-2024,BA,,MA,115
2023-2024,PhD,848,PhD,88
2023-2024,MA,,PhD,18
2023-2024,BA,,PhD,115
2014-2015,PhD,21856,BA,99
2014-2015,MA,2470,BA,43
2014-2015,BA,7583,BA,199
2014-2015,PhD,1591,MA,99
2014-2015,MA,503,MA,43
2014-2015,BA,,MA,199
2014-2015,PhD,889,PhD,99
2014-2015,MA,,PhD,43
2014-2015,BA,,PhD,199
2015-2016,PhD,22656,BA,111
2015-2016,MA,2530,BA,39
2015-2016,BA,7918,BA,218
2015-2016,PhD,1832,MA,111
2015-2016,MA,347,MA,39
2015-2016,BA,,MA,218
2015-2016,PhD,986,PhD,111
2015-2016,MA,,PhD,39
2015-2016,BA,,PhD,218
