Course,Average,S2982,S2988,S2992,S2998,S2002,S2008,S2012,S2018,S2022,S2028,S2032,S2038,S2042,S2048,S2052,S2058,S2062,S2068,S2072,S2078,S2082,S2088,S2092,S2098,S2102,S2108,S2112,S2118,S2122,S2128,S2132,S2138,S2142,S2148,S2152,S2158,S2162,S2168,S2172,S2178,S2182,S2188,S2192,S2198,S2202,S2208,S2212,S2218,S2222,S2228,S2232,S2238,S2242,S2248,S2252
160,69.00,,47,69,87,59,79,76,68,77,99,99,100,99,100,99,101,100,101,85,98,,,,,,,,,,95,91,90,51,43,50,78,36,37,39,38,50,48,36,49,23,49,,,,,,47,49,,49
186,21.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,13,,33,25,,,,,20,,
260,517.85,477,775,481,782,622,915,574,819,629,803,659,861,640,791,690,805,658,807,596,609,774,686,629,778,408,699,366,529,436,437,393,362,435,358,389,402,406,476,394,425,331,390,293,332,271,400,272,396,302,319,288,310,259,314,230
260H,22.13,,40,,37,,28,,19,,30,,25,,21,,22,,18,,23,,30,,13,,,9,18,,23,,25,,30,,24,,,,20,,23,,16,,,,,,6,,9,,,
261,359.69,439,349,528,381,507,393,596,454,561,462,536,381,544,419,550,440,564,474,594,378,532,416,455,370,456,287,403,229,330,347,296,365,268,314,290,377,277,327,256,219,253,233,240,206,205,248,232,281,225,243,179,239,220,210,205
261H,18.77,17,,15,,24,,24,,14,,26,,33,,21,,22,,24,,24,,,,34,18,,,15,,17,,,,24,,23,,,,9,,12,,3,,,,,,7,,7,,
290,14.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,21,17,14,7,10,9,14,,22,
300,44.28,,32,35,34,31,36,45,39,42,42,54,45,66,68,,66,61,44,62,,,50,,,36,,,,41,,,,,,49,,33,33,20,43,,,,,,,,,,,,,,,
301,33.78,,,,,,,,,,,,,,,,,49,40,,52,,46,,43,,50,,45,,42,,42,,40,,26,,,,,43,14,,,14,,16,,,11,,20,,15,
302,45.00,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,53.67,44,32,36,24,25,30,49,23,42,53,50,54,64,113,60,102,66,102,66,115,67,50,47,53,102,51,98,40,80,47,52,50,50,50,50,41,47,43,40,31,39,31,,23,,,,,,,50,,,,33
315,29.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,32,,42,,23,,25,,29,,19
320,38.78,,40,,42,32,26,43,,41,38,,42,,,50,40,50,,49,53,,,49,40,45,46,,,,50,,40,,32,50,35,36,33,35,40,40,37,37,19,31,,44,30,,31,27,,23,,
330,45.77,32,32,42,40,30,24,45,41,,46,51,52,,,103,,51,42,65,50,44,95,51,85,100,101,60,40,29,38,40,46,52,50,52,37,,43,21,27,26,23,18,24,20,,31,,32,,,37,,,
340,29.30,,,,,,,,,,,,,,,,49,,44,,,44,,44,,,,22,,,31,36,23,30,34,22,,27,27,35,19,,,,,15,,15,,9,,,30,,,30
360,61.09,34,39,32,34,34,36,34,39,46,43,24,94,90,93,101,101,127,111,134,104,109,94,107,106,68,79,115,69,58,79,75,81,75,79,44,70,51,62,37,38,45,45,26,48,28,43,19,29,8,19,17,,32,,33
361,56.25,34,24,38,26,26,40,43,45,41,44,64,85,96,45,97,99,82,111,117,107,110,94,105,108,70,85,26,43,72,67,71,66,62,69,64,53,65,45,55,42,41,22,36,25,26,36,23,34,13,24,6,27,,32,
370,26.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,24,31,,20,,,,,,,,,,,,,,,,
371,44.33,,,,,,,,,,,,,59,,,,,41,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,26.73,36,,9,,,,13,,,,32,,,,49,,,,35,,,47,,,,34,,,,,,,,,,,,,,,29,25,,14,,23,,24,,,11,,20,,
374,28.44,,,,,,,,,,,,,,,,,,,,,,,,,42,21,14,,17,,,,28,,,,,,30,,,,42,,,,,,34,,,,,28,
375,35.13,,,,,,,,,,,,,,,,,,,,,,,,,86,21,50,48,25,,32,39,35,35,,35,,33,,,,,,16,,45,,,16,,,24,,22,
385,25.29,,15,,10,,17,,42,41,33,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,39.44,28,,33,,20,20,,38,41,,37,,46,,50,45,49,,50,49,45,45,45,47,45,45,45,44,39,44,,41,50,,50,29,,35,,23,,33,,17,,,,,,34,,,,,
390,26.73,,19,15,12,15,7,12,17,33,21,24,42,43,,33,32,41,57,51,50,40,40,47,49,48,43,70,24,24,19,23,24,25,24,28,32,19,22,21,20,20,16,24,15,18,21,11,14,7,17,7,9,,18,
390A,25.10,,19,14,12,15,7,12,17,33,21,23,42,42,,34,32,41,28,53,50,39,39,47,49,43,38,20,22,27,18,24,23,24,25,31,32,20,21,24,20,21,17,24,14,17,20,12,17,7,16,7,9,,18,
393,19.21,,,,,,,,,,,,,,,,,,,,52,,36,,,,,,,,21,24,17,19,12,,10,,10,,,,,14,,17,,,12,,9,,,16,,
393A,22.22,,,,,,,,,,,,,,,,,,,,52,,36,,,,,,,,20,24,17,19,12,,10,,10,,,,,,,,,,,,,,,,,
397H,1.41,1,,3,,,1,1,,,,1,,2,,,,2,,2,1,1,,2,,,,,,1,1,1,,,2,,1,,,,,,,,,,,,1,,,,,,,
403,23.56,,10,,6,,,,23,,29,,,21,44,,46,32,,43,,28,,,28,,22,,27,,11,,6,,,,,,,1,,,,,,,,,,,,,,,,
420,20.67,11,,6,,,,,6,,,21,,,,,,48,,,,31,,,,,,23,,19,,,,21,,,,,,,,,,,,,,,,,,,,,,
423,23.50,,,,,,,,,,,,,33,,,,,,33,,,,,,,,,7,,,21,,,,,,,,,,,,,,,,,,,,,,,,
425,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
442,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
443,24.82,16,,12,,28,,15,,21,,18,,,,,,,,,,,39,52,26,32,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,
450,23.28,,,6,,,,5,,15,,15,26,,60,38,,,43,,33,33,28,37,,20,20,31,15,15,,40,14,28,34,26,15,14,,12,16,,,,,14,,15,,,7,,,,,
454,30.33,,,,,8,,,,,22,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460X,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,2,,,,,,,,2,,
470,8.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,8,,,13,,,4,,,12,
489,4.13,,,,,,,,,,,,,,,,,,,,,,,,4,5,,5,,,,,,3,3,,,,2,,,9,,,,,,,,,,,,,,2
490,7.52,,12,,9,,15,,14,,11,,13,,17,,17,,16,,20,,6,,3,,5,,6,,2,,2,,2,,2,,8,,4,,5,,1,,2,,4,,1,,2,,4,
491,8.83,,15,,8,,14,,13,,13,,11,,17,,26,,15,,13,,5,,,,2,,1,,1,,1,,,,,,,,2,,,,,,1,,1,,,,,,,
492,26.00,,,,,,,,,,,,,17,,35,47,47,31,46,29,45,18,53,14,47,31,33,30,26,15,24,27,32,40,41,40,32,25,29,25,27,17,27,11,13,12,16,11,19,6,10,6,14,6,18
493,3.33,1,,,,,,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
494,2.42,4,2,,,3,1,,1,1,1,1,1,2,,3,2,,,1,,2,1,3,,5,6,5,1,1,2,5,2,3,4,,3,2,1,1,5,6,2,1,,2,,,2,2,,,,2,,
495,6.50,4,,3,2,3,,,,3,,,,12,,7,,,,,3,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
496X,1.13,,,,,,,,,,,1,,1,,,,,,1,,1,,,2,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,
497,4.85,15,4,4,4,9,3,10,4,4,6,5,6,8,,5,7,13,,9,4,15,5,6,7,7,6,4,1,2,4,3,1,1,,,2,,1,,2,,,,2,2,,1,3,,2,,,1,1,
498,2.44,3,1,1,1,4,,,1,5,3,5,4,2,,5,3,5,,3,2,3,2,2,,,4,3,,3,3,2,1,1,,1,1,1,,,,1,,,,,,1,,1,,,,,,
498H,1.17,1,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1
503,6.00,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,,,1,,10,,,,,,,7,,,,,,,,,,,,,,,,
520,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
542,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
543,4.33,,,,,,,,,,,,,,,,,,,,,,5,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,5.60,,,,,,,,,,,,,,,,,,,,,,7,3,11,,8,,,1,,,5,,,,10,,,2,5,,,,,,,4,,,,,,,,
570,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,6,,,2,,,1,,,2,
584X,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,3,,2,,1,,,,2,,,,,,,,4,,
589,5.25,,,,,,,,,,,,,,,,,,,,,,,,,1,,11,,,,,,8,3,,,,2,,,7,,,,,,,,6,,,,,,4
590,8.35,,,,,,,,,,,,,,,,,,,,,,9,,14,,10,,2,,10,,6,,9,,11,,7,,10,,9,,9,,11,,8,,3,,6,,8,
591,9.00,,,,,,,,,,,,,,,,,,,,,,10,,18,15,15,,2,,9,,6,,9,,10,,8,,9,,,,12,,8,,10,,2,,4,,6,
595,1.50,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
597,1.00,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,5.75,,,,,,,,,,,,,,,,5,,,5,,,7,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,6.00,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,4,,,,,,,
648,8.17,,,,,,,,,,,,,,,,,,,,5,,,9,,3,,5,,3,,12,,9,,,,10,,,,,12,,,,,12,,,,10,,,,8
649,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,3,,,,,
660,9.75,12,,10,,10,,9,,10,,10,,9,,16,,17,,13,,12,,12,,15,,9,1,,8,,7,,10,,10,,8,,10,,8,,,10,,10,,9,,5,,5,,8
661,9.71,15,,12,,11,,14,,10,,10,,9,,14,,15,,9,,12,,11,,13,,8,1,,8,,7,,10,,10,,8,,10,,8,,,11,,9,,9,,4,,6,,8
664,1.21,,,,1,1,1,1,,,,,,,,1,,,,,,,3,,1,,,,,,,,1,,,,,,1,,,1,,1,1,,,,,,,2,,1,,
665,1.18,,,,,2,,1,,,,,,,,1,,1,,,,,,,,,,,1,,,1,1,,,,,,1,,1,,,,1,,,,,,,,2,,,
685,5.50,5,,,,4,,,6,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,4.25,,,,3,,,3,,,3,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,9.04,10,,11,,8,,11,,9,,7,,7,,12,,13,,8,,11,,12,,12,,7,,8,,8,,7,,9,,9,,,,9,,8,,10,,10,,8,,6,,6,,8
691,9.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,13,,11,,4,,4,,8,
692,9.07,10,,11,,8,,11,,9,,7,,,,12,,13,,8,,11,,12,,14,,8,,8,9,7,,12,,9,5,9,,7,,9,,8,,10,,10,,8,,5,,6,,7
695,5.50,,,,,,,,,,,,,,5,,,3,,,6,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
698,9.70,25,0,22,3,20,0,25,6,18,3,21,0,15,5,24,0,29,0,16,6,22,7,4,4,4,8,14,,6,13,16,10,9,3,9,8,5,7,10,5,2,4,2,7,8,3,4,,,1,2,10,3,7,1
699,2.58,1,1,,2,1,,1,,,,1,1,,,2,2,,,5,1,4,1,2,6,8,2,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
700,6.57,,,4,,,,6,,,8,,,,10,,,7,,,6,,,,,,11,,,3,,,7,,,,,,9,,,,9,,,,3,,,,3,,,,6,
701,5.31,,,,,,,,,,,,6,,,4,,,12,,,2,,,,3,,7,,,8,,,3,,,,4,,,5,,,6,,,,6,,3,,,,,,
740,5.08,,,,,,,,,,,,7,,,3,,,3,,,9,,,9,,,,1,,,8,,,,6,,,,4,,,3,,,,,5,,,,4,,,,4
741,5.71,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,7,,5,,5,,,,,,4,,,,,,,,,6,,,,4,,
745,4.33,,,,,,,,,,,,,,,,,,,,,,,,6,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,7.25,,,,,,,,,2,,,9,,,9,,,10,,,4,,7,,9,,,,,,7,,,,,,12,,,,6,,,,,4,,,,,8,,,,
751,8.40,,,,,,,,,,,,,10,,,6,,,7,,,9,,,,14,,,5,,,,,,,,,14,,,,,7,,,,,6,,,,,,,6
760,6.89,,6,,5,,6,,2,,6,11,11,,4,,6,,4,,8,,8,,9,,10,,,13,,6,,5,,9,,6,,5,,7,,9,,,8,,5,,7,,5,,5,
761,6.88,,6,,6,,5,,1,,6,13,13,,4,,5,,6,,8,,7,,,,10,,,12,,6,,5,,9,,6,,,,7,,7,,,8,,6,,7,,4,,5,
785,6.67,,,,,,,,,6,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,9.11,,,,,,,,,,,,,,,,,8,,,,,,4,,,,9,,,11,,,,12,,,,10,,,,8,,,,,,14,,,,6,,,
791,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,4,,,,,,3,,,,,,,,,
793,9.22,,,,,,,,,,,,,,,,,,,,,10,,,,5,,,,9,,,11,,,,13,,,,,8,,,9,,,,,,12,,,,6,
795,2.33,2,4,7,4,1,,,,1,,,,,,1,,,,,,,,,2,3,2,3,1,2,2,2,3,1,,,,,,,,,,,,,,1,,,,,,,,
796,5.71,0,0,0,0,0,0,0,0,0,0,0,7,7,0,3,4,3,3,4,4,9,0,4,17,0,5,6,1,9,8,10,5,7,4,4,7,5,,5,,2,,5,,,,6,,6,,6,,6,,5
798,20.37,15,17,14,25,23,29,29,19,11,22,19,32,29,,21,19,16,,20,24,20,21,23,29,26,31,28,,29,29,30,28,26,19,21,19,23,12,12,13,16,13,9,21,12,26,15,23,16,17,11,17,12,20,8
799,9.85,12,8,10,11,10,11,13,10,7,9,9,8,11,,17,14,15,,15,13,13,12,10,11,11,10,12,1,13,13,11,10,11,8,9,11,12,7,10,12,12,9,11,8,8,8,8,6,7,5,5,5,7,5,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: Graduate courses have been adjusted to reflect renumber that took place with previous classes matching ""current"" numbering. Previous to Fall 2008, 400 level counts are likely higher as there was no distinction between grad and undergrad enrollment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
