Year,Institution,Inst_Type,PhD_Degree,PhD_Enroll,MA_Degree,MA_Enroll
2020,Illinois State University,1,,,,23
2020,Northern Illinois University,1,,29,,6
2020,Southern Illinois University Carbondale,1,,13,,1
2020,University of Illinois Chicago,1,,45,,5
2020,University of Illinois Urbana/Champaign,1,,162,,151
2020,Western Illinois University,1,,,,20
2020,Public Uni. Total,1,,249,,206
2020,DePaul University,3,,,,33
2020,Northwestern University,3,,123,,2
2020,University of Chicago,3,,155,,
2020,Independent NFP Inst. Total,3,,278,,35
2020,Year Total,4,,527,,241
2021,Illinois State University,1,,,11,25
2021,Northern Illinois University,1,5,27,3,5
2021,Southern Illinois University Carbondale,1,,16,2,3
2021,University of Illinois Chicago,1,8,44,4,9
2021,University of Illinois Urbana/Champaign,1,22,168,98,157
2021,Western Illinois University,1,,,8,23
2021,Public Uni. Total,1,35,255,126,222
2021,DePaul University,3,,,20,28
2021,Northwestern University,3,19,192,32,2
2021,University of Chicago,3,43,241,68,53
2021,Independent NFP Inst. Total,3,62,433,120,83
2021,Year Total,4,97,688,246,305
2022,Illinois State University,1,,,6,36
2022,Northern Illinois University,1,3,19,4,3
2022,Southern Illinois University Carbondale,1,1,20,1,10
2022,University of Illinois Chicago,1,9,42,8,5
2022,University of Illinois Urbana/Champaign,1,31,150,77,162
2022,Western Illinois University,1,,,9,33
2022,Public Uni. Total,1,44,231,105,249
2022,DePaul University,3,,,19,30
2022,Northwestern University,3,31,199,55,43
2022,University of Chicago,3,34,228,77,104
2022,Independent NFP Inst. Total,3,65,427,151,177
2022,Year Total,4,109,658,256,426
2023,Illinois State University,1,,,17,27
2023,Northern Illinois University,1,1,23,2,2
2023,Southern Illinois University Carbondale,1,1,27,7,6
2023,University of Illinois Chicago,1,6,41,13,6
2023,University of Illinois Urbana/Champaign,1,32,137,104,160
2023,Western Illinois University,1,,,13,27
2023,Public Uni. Total,1,40,228,156,228
2023,DePaul University,3,,,13,21
2023,Northwestern University,3,27,206,64,47
2023,University of Chicago,3,41,227,78,64
2023,Independent NFP Inst. Total,3,68,433,155,132
2023,Year Total,4,108,661,311,360
2024,Illinois State University,1,,,17,28
2024,Northern Illinois University,1,2,22,5,2
2024,Southern Illinois University Carbondale,1,5,22,3,6
2024,University of Illinois Chicago,1,9,44,6,6
2024,University of Illinois Urbana/Champaign,1,23,142,90,151
2024,Western Illinois University,1,,,13,17
2024,Public Uni. Total,1,39,230,134,210
2024,DePaul University,3,,,15,26
2024,Illinois Institute of Technology,3,,,,2
2024,Northwestern University,3,31,207,69,60
2024,University of Chicago,3,41,228,74,201
2024,Independent NFP Inst. Total,3,72,435,158,289
2024,Year Total,4,111,665,292,499
