Semester,Level.100,Level.200,Level.300,Level.400,Level.500,Level.600,Level.700,Total
FALL2018,144,1941,785,72,51,93,97,3183
FALL2019,147,1678,617,42,60,78,79,2701
FALL2020,150,1971,656,45,57,42,145,3066
FALL2021,75,2051,446,102,48,42,151,2915
FALL2022,,1726,469,45,15,24,121,2400
FALL2023,141,1688,438,24,30,45,86,2452
FALL2024,,1665,359,66,51,45,115,2301
SPRING2019,156,1635,762,105,6,50,145,2859
SPRING2020,108,1453,617,117,24,134,39,2492
SPRING2021,99,1559,630,114,12,145,95,2654
SPRING2022,,1585,430,66,21,98,99,2299
SPRING2023,,1422,439,42,3,89,88,2083
SPRING2024,207,1458,357,66,27,56,80,2251
SPRING2025,147,1308,360,90,18,100,81,2104
