Semester,Crsenum,Cscredit
SUMMER2024,700,240
SUMMER2023,700,322
SUMMER2022,700,313
SUMMER2021,700,317
SUMMER2020,700,174
SUMMER2019,700,223
SUMMER2018,700,341
SPRING2025,700,1370
SPRING2024,700,1346
SPRING2023,700,1459
SPRING2022,700,1549
SPRING2021,700,1286
SPRING2020,700,1286
SPRING2019,700,1414
FALL2024,700,1358
FALL2023,700,1342
FALL2022,700,1449
FALL2021,700,1481
FALL2020,700,1323
FALL2019,700,1392
FALL2018,700,1282
SUMMER2024,600,497
SUMMER2023,600,561
SUMMER2022,600,626
SUMMER2021,600,663
SUMMER2020,600,654
SUMMER2019,600,688
SUMMER2018,600,685
SPRING2025,600,3708
SPRING2024,600,3792
SPRING2023,600,3628
SPRING2022,600,3958
SPRING2021,600,3746
SPRING2020,600,4272
SPRING2019,600,4415
FALL2024,600,3753
FALL2023,600,4123
FALL2022,600,3873
FALL2021,600,3825
FALL2020,600,3774
FALL2019,600,4066
FALL2018,600,4298
SUMMER2024,500,190
SUMMER2023,500,270
SUMMER2022,500,132
SUMMER2021,500,108
SUMMER2020,500,159
SUMMER2019,500,355
SUMMER2018,500,152
SPRING2025,500,933
SPRING2024,500,1025
SPRING2023,500,1345
SPRING2022,500,1373
SPRING2021,500,1022
SPRING2020,500,1122
SPRING2019,500,1018
FALL2024,500,1447
FALL2023,500,1398
FALL2022,500,1761
FALL2021,500,1344
FALL2020,500,1262
FALL2019,500,1583
FALL2018,500,1708
SUMMER2024,400,629
SUMMER2023,400,596
SUMMER2022,400,741
SUMMER2021,400,829
SUMMER2020,400,725
SUMMER2019,400,1083
SUMMER2018,400,1268
SPRING2025,400,9050
SPRING2024,400,7849
SPRING2023,400,7383
SPRING2022,400,8906
SPRING2021,400,9156
SPRING2020,400,10024
SPRING2019,400,11563
FALL2024,400,7897
FALL2023,400,6661
FALL2022,400,7356
FALL2021,400,8506
FALL2020,400,9130
FALL2019,400,10105
FALL2018,400,10964
SUMMER2024,300,2937
SUMMER2023,300,2704
SUMMER2022,300,2835
SUMMER2021,300,2619
SUMMER2020,300,2976
SUMMER2019,300,2706
SUMMER2018,300,2787
SPRING2025,300,17847
SPRING2024,300,17151
SPRING2023,300,16037
SPRING2022,300,16010
SPRING2021,300,18170
SPRING2020,300,18946
SPRING2019,300,22115
FALL2024,300,18266
FALL2023,300,17589
FALL2022,300,16594
FALL2021,300,17302
FALL2020,300,20353
FALL2019,300,19460
FALL2018,300,23413
SUMMER2024,200,1802
SUMMER2023,200,1361
SUMMER2022,200,1067
SUMMER2021,200,1403
SUMMER2020,200,1555
SUMMER2019,200,1192
SUMMER2018,200,1504
SPRING2025,200,21777
SPRING2024,200,22794
SPRING2023,200,21132
SPRING2022,200,19893
SPRING2021,200,21680
SPRING2020,200,20476
SPRING2019,200,21167
FALL2024,200,22261
FALL2023,200,20606
FALL2022,200,19197
FALL2021,200,18839
FALL2020,200,20679
FALL2019,200,20095
FALL2018,200,23068
SUMMER2024,100,1653
SUMMER2023,100,1822
SUMMER2022,100,1888
SUMMER2021,100,1063
SUMMER2020,100,1356
SUMMER2019,100,782
SUMMER2018,100,720
SPRING2025,100,21086
SPRING2024,100,21076
SPRING2023,100,22810
SPRING2022,100,20436
SPRING2021,100,20137
SPRING2020,100,19107
SPRING2019,100,17895
FALL2024,100,30351
FALL2023,100,33793
FALL2022,100,35378
FALL2021,100,30412
FALL2020,100,30125
FALL2019,100,28354
FALL2018,100,28092
