Academic_Year,Degree,Count
2015-2016,BA,13
2016-2017,BA,12
2017-2018,BA,12
2018-2019,BA,11
2019-2020,BA,10
2020-2021,BA,10
2021-2022,BA,6
2022-2023,BA,9
2023-2024,BA,3
2024-2025,BA,2
2015-2016,BS,56
2016-2017,BS,54
2017-2018,BS,40
2018-2019,BS,34
2019-2020,BS,25
2020-2021,BS,14
2021-2022,BS,12
2022-2023,BS,18
2023-2024,BS,13
2024-2025,BS,16
2015-2016,BSFE,0
2016-2017,BSFE,0
2017-2018,BSFE,0
2018-2019,BSFE,0
2019-2020,BSFE,1
2020-2021,BSFE,0
2021-2022,BSFE,1
2022-2023,BSFE,1
2023-2024,BSFE,0
2024-2025,BSFE,1
2015-2016,MA,4
2016-2017,MA,5
2017-2018,MA,3
2018-2019,MA,5
2019-2020,MA,8
2020-2021,MA,4
2021-2022,MA,3
2022-2023,MA,4
2023-2024,MA,2
2024-2025,MA,5
2015-2016,PhD,4
2016-2017,PhD,4
2017-2018,PhD,4
2018-2019,PhD,5
2019-2020,PhD,5
2020-2021,PhD,2
2021-2022,PhD,5
2022-2023,PhD,3
2023-2024,PhD,1
2024-2025,PhD,2
2015-2016,NIU,20130
2016-2017,NIU,19015
2017-2018,NIU,18042
2018-2019,NIU,17169
2019-2020,NIU,16609
2020-2021,NIU,16769
2021-2022,NIU,16234
2022-2023,NIU,15649
2023-2024,NIU,15504
2024-2025,NIU,15415
2015-2016,NIUD,5211
2016-2017,NIUD,5342
2017-2018,NIUD,5322
2018-2019,NIUD,5144
2019-2020,NIUD,5048
2020-2021,NIUD,4648
2021-2022,NIUD,4499
2022-2023,NIUD,4350
2023-2024,NIUD,4052
2024-2025,NIUD,4056
2015-2016,CLAS,1892
2016-2017,CLAS,1794
2017-2018,CLAS,1822
2018-2019,CLAS,1678
2019-2020,CLAS,1640
2020-2021,CLAS,1476
2021-2022,CLAS,1361
2022-2023,CLAS,1262
2023-2024,CLAS,1250
2024-2025,CLAS,1249
