Semester,Weeks Prior,Count of Sheet1
Spring 2025,0,105
Spring 2024,0,90
Spring 2023,0,90
Spring 2025,1,93
Spring 2024,1,80
Spring 2023,1,84
Spring 2025,2,93
Spring 2024,2,77
Spring 2023,2,74
Spring 2025,3,92
Spring 2024,3,76
Spring 2023,3,72
Spring 2025,4,88
Spring 2024,4,72
Spring 2023,4,69
Spring 2025,5,82
Spring 2024,5,63
Spring 2023,5,65
Spring 2025,6,77
Spring 2024,6,59
Spring 2023,6,63
Spring 2025,7,75
Spring 2024,7,52
Spring 2023,7,58
Spring 2025,8,63
Spring 2024,8,50
Spring 2023,8,55
Spring 2025,9,41
Spring 2024,9,32
Spring 2023,9,39
